cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
245,0x00000000000,0x00000000000,0x0170096e1,0x00000000,0x00000000,0,0,00000000000000000000005c025b840000000000000000
246,0x00000000000,0x00000000000,0x05875f7a1,0x00000000,0x00000000,0,0,000000000000000000000161d7de840000000000000000
247,0x00000000000,0x00000019293,0x058d5f7e1,0x00000000,0x00000000,0,0,00000000000000001929316357df840000000000000000
248,0x00000000000,0x00000018287,0x05a76b9c3,0x00000000,0x00000000,0,0,000000000000000018287169dae70c0000000000000000
249,0x0000004521b,0x0000001a29f,0x05935f821,0x00000000,0x00000000,0,0,0000011486c000001a29f164d7e0840000000000000000
250,0x00000047223,0x00000000000,0x016c076a2,0x00000000,0x00000000,0,0,0000011c88c000000000005b01da880000000000000000
251,0x0000004621f,0x00000000000,0x016603642,0x00000000,0x00000000,0,0,0000011887c000000000005980d9080000000000000000
252,0x00000000000,0x00000000000,0x01720b702,0x1c9c5c62,0x00000000,0,0,00000000000000000000005c82dc08e4e2e31000000000
253,0x00000000000,0x00000000000,0x018801861,0x00000000,0x00000000,0,0,0000000000000000000000620061840000000000000000
254,0x00000000000,0x00000000000,0x018e058c1,0x00000000,0x00000000,0,0,0000000000000000000000638163040000000000000000
255,0x00000000000,0x00000000000,0x03e20036b,0x00000000,0x00000000,0,0,0000000000000000000000f8800dac0000000000000000
256,0x00000000000,0x00000000000,0x019409921,0x00000000,0x00000000,0,0,0000000000000000000000650264840000000000000000
257,0x00000000000,0x0000001c2db,0x03a401a2e,0x00000000,0x00000000,0,0,00000000000000001c2db0e90068b80000000000000000
258,0x00000000000,0x0000001b2cf,0x05c38bbc3,0x00000000,0x00000000,0,0,00000000000000001b2cf170e2ef0c0000000000000000
259,0x00000048263,0x0000001d2e7,0x03a801a6e,0x5ca0dc81,0x00000000,0,0,0000012098c000001d2e70ea0069bae506e40800000000
260,0x00000049267,0x00000000000,0x018a03882,0x00000000,0x00000000,0,0,0000012499c000000000006280e2080000000000000000
261,0x00000000000,0x00000000000,0x05c78bbe3,0x00000000,0x00000000,0,0,000000000000000000000171e2ef8c0000000000000000
262,0x0000004a26b,0x00000000000,0x0190078e2,0x00000000,0x00000000,0,0,000001289ac000000000006401e3880000000000000000
263,0x00000000000,0x00000000000,0x03e00034b,0x00000000,0x00000000,0,0,0000000000000000000000f8000d2c0000000000000000
264,0x00000000000,0x00000000000,0x01960b942,0x00000000,0x00000000,0,0,00000000000000000000006582e5080000000000000000
265,0x00000000000,0x00000000000,0x036e01a4d,0x00000000,0x00000000,0,0,0000000000000000000000db8069340000000000000000
266,0x00000000000,0x00000000000,0x037001a8d,0x00000000,0x00000000,0,0,0000000000000000000000dc006a340000000000000000
267,0x00000000000,0x0000001e317,0x05cb8bc03,0x00000000,0x00000000,0,0,00000000000000001e317172e2f00c0000000000000000
268,0x00000000000,0x00000000000,0x03c401c2e,0x00000000,0x00000000,0,0,0000000000000000000000f10070b80000000000000000
269,0x00000000000,0x00000000000,0x03c801c6e,0x00000000,0x00000000,0,0,0000000000000000000000f20071b80000000000000000
270,0x00000000000,0x0000001f323,0x05ebabe23,0x00000000,0x00000000,0,0,00000000000000001f32317aeaf88c0000000000000000
271,0x0000004b2ab,0x0000002032f,0x05e7abe03,0x00000000,0x00000000,0,0,0000012caac000002032f179eaf80c0000000000000000
272,0x0000004c2af,0x00000000000,0x05efabe43,0x00000000,0x00000000,0,0,00000130abc000000000017beaf90c0000000000000000
273,0x00000000000,0x00000000000,0x0417ca103,0x00000000,0x00000000,0,0,000000000000000000000105f2840c0000000000000000
274,0x0000004d2b3,0x00000000000,0x03cc01cae,0x00000000,0x00000000,0,0,00000134acc00000000000f30072b80000000000000000
275,0x00000000000,0x00000000000,0x038c01c4d,0x1e7e3e02,0x00000000,0,0,0000000000000000000000e3007134f3f1f01000000000
276,0x00000000000,0x00000000000,0x038e01c8d,0x00000000,0x00000000,0,0,0000000000000000000000e38072340000000000000000
277,0x00000000000,0x00000000000,0x03ec01eae,0x1736f6cb,0x00000000,0,0,0000000000000000000000fb007ab8b9b7b65800000000
278,0x00000000000,0x00000000000,0x03e801e6e,0x00000000,0x00000000,0,0,0000000000000000000000fa0079b80000000000000000
279,0x00000000000,0x00000000000,0x03f001eee,0x00000000,0x00000000,0,0,0000000000000000000000fc007bb80000000000000000
280,0x00000000000,0x00000000000,0x02180016e,0x00000000,0x00000000,0,0,0000000000000000000000860005b80000000000000000
281,0x00000000000,0x00000000000,0x039001ccd,0x00000000,0x00000000,0,0,0000000000000000000000e40073340000000000000000
282,0x00000000000,0x00000000000,0x041bca123,0x00000000,0x00000000,0,0,000000000000000000000106f2848c0000000000000000
283,0x00000000000,0x00000000000,0x041fca143,0x00000000,0x00000000,0,0,000000000000000000000107f2850c0000000000000000
